"filename", "language", "YAML", "Dart", "Markdown", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\Erik\login_starter\CHANGELOG.md", "Markdown", 0, 0, 12, 0, 0, 0, 12, 24
"c:\Users\Erik\login_starter\README.md", "Markdown", 0, 0, 88, 0, 0, 0, 42, 130
"c:\Users\Erik\login_starter\analysis_options.yaml", "YAML", 3, 0, 0, 0, 0, 23, 4, 30
"c:\Users\Erik\login_starter\example\example.md", "Markdown", 0, 0, 134, 0, 0, 0, 16, 150
"c:\Users\Erik\login_starter\example\flutter_example\README.md", "Markdown", 0, 0, 4, 0, 0, 0, 3, 7
"c:\Users\Erik\login_starter\example\flutter_example\analysis_options.yaml", "YAML", 3, 0, 0, 0, 0, 23, 4, 30
"c:\Users\Erik\login_starter\example\flutter_example\firebase.json", "JSON", 0, 0, 0, 7, 0, 10, 0, 17
"c:\Users\Erik\login_starter\example\flutter_example\lib\firebase_options_template.dart", "Dart", 0, 49, 0, 0, 0, 12, 3, 64
"c:\Users\Erik\login_starter\example\flutter_example\lib\main.dart", "Dart", 0, 95, 0, 0, 0, 37, 17, 149
"c:\Users\Erik\login_starter\example\flutter_example\pubspec.yaml", "YAML", 18, 0, 0, 0, 0, 12, 12, 42
"c:\Users\Erik\login_starter\example\flutter_example\test\widget_test.dart", "Dart", 0, 0, 0, 0, 0, 24, 7, 31
"c:\Users\Erik\login_starter\example\flutter_example\web\index.html", "HTML", 0, 0, 0, 0, 37, 16, 6, 59
"c:\Users\Erik\login_starter\example\flutter_example\web\manifest.json", "JSON", 0, 0, 0, 35, 0, 0, 1, 36
"c:\Users\Erik\login_starter\lib\main.dart", "Dart", 0, 45, 0, 0, 0, 4, 7, 56
"c:\Users\Erik\login_starter\lib\src\auth\authmodel.dart", "Dart", 0, 14, 0, 0, 0, 18, 9, 41
"c:\Users\Erik\login_starter\lib\src\auth\authservice.dart", "Dart", 0, 143, 0, 0, 0, 22, 26, 191
"c:\Users\Erik\login_starter\lib\src\screenservice.dart", "Dart", 0, 188, 0, 0, 0, 26, 35, 249
"c:\Users\Erik\login_starter\lib\src\view\login.dart", "Dart", 0, 28, 0, 0, 0, 0, 3, 31
"c:\Users\Erik\login_starter\lib\src\view\passwordCode.dart", "Dart", 0, 25, 0, 0, 0, 0, 3, 28
"c:\Users\Erik\login_starter\lib\src\view\passwordForgotten.dart", "Dart", 0, 25, 0, 0, 0, 7, 3, 35
"c:\Users\Erik\login_starter\lib\src\view\signup.dart", "Dart", 0, 29, 0, 0, 0, 1, 3, 33
"c:\Users\Erik\login_starter\lib\src\view\widget\modaldialog.dart", "Dart", 0, 22, 0, 0, 0, 18, 3, 43
"c:\Users\Erik\login_starter\lib\src\view\widget\resendbutton.dart", "Dart", 0, 42, 0, 0, 0, 1, 6, 49
"c:\Users\Erik\login_starter\lib\src\view\widget\widgethelper.dart", "Dart", 0, 247, 0, 0, 0, 22, 29, 298
"c:\Users\Erik\login_starter\lib\usersessiondata.dart", "Dart", 0, 31, 0, 0, 0, 15, 12, 58
"c:\Users\Erik\login_starter\pubspec.yaml", "YAML", 25, 0, 0, 0, 0, 12, 12, 49
"c:\Users\Erik\login_starter\test\widget_test.dart", "Dart", 0, 0, 0, 0, 0, 24, 6, 30
"Total", "-", 49, 983, 238, 42, 37, 327, 284, 1960
